Phụ lục II
DANH MỤC CÁC CƠ SỞ PHÁT THẢI KHÍ NHÀ KÍNH PHẢI THỰC HIỆN KIỂM KÊ KHÍ NHÀ KÍNH
NGÀNH CÔNG THƯƠNG
*(Kèm theo Quyết định số      /2024/QĐ-TTg ngày     tháng      năm 2024 của Thủ tướng Chính phủ)*
| STT | Tên cơ sở | Địa chỉ | Ngành nghề/Loại hình kinh doanh | Tiêu thụ năng lượng (TOE) |
| --- | --- | --- | --- | --- |
| I. TÂY BẮC BỘ |
| 416 | Công ty TNHH hệ thống dây dẫn Sumi Việt Nam | Lô B1,KCN Đồng Văn II, thị xã Duy Tiên, tỉnh Hà Nam | Sản xuất dây cáp điện | 1.334 |
| 417 | Công ty TNHH Đồng kỹ thuật Korea Việt Nam | KCN Đồng Văn I, thị xã Duy Tiên, tỉnh Hà Nam | Sản xuất dây điện tử và các loại đồng | 2.783 |
| 418 | Công ty TNH ACE Antena | KCN Đồng Văn II, thị xã Duy Tiên, tỉnh Hà Nam | Sản xuất ăng ten, bộ lọc tần | 1.884 |
| 419 | Công ty TNHH Dorco Vian- Chi nhánh Hà Nam | Đường D3, khu G, KCN Hoà Mạc, thị xã Duy Tiên, tỉnh Hà Nam | Sản xuất dao kéo, dụng cụ cầm tay và đồ kim loại thông dụng | 3.618 |
| 420 | Công ty Honda Việt Nam - Chi nhánh Hà Nam | KCN Đồng Văn II, thị xã Duy Tiên, tỉnh Hà Nam | Sản xuất lắp ráp xe gắn máy và các phụ tùng xe máy honda | 8.506 |
| 421 | Công ty TNHH SRE Việt Nam | KCN Đồng Văn II, thị xã Duy Tiên, tỉnh Hà Nam | Sản xuất sản phẩm từ chất khoáng phi kim loại | 1.298 |
| 422 | Công ty TNHH Anam Electronnics Việt Nam | KCN Đồng Văn IV, Xã Đại Cương, huyện Kim Bảng, tỉnh Hà Nam | Sản xuất sản phẩm điện tử dân dụng | 1.369 |
| 423 | Công ty TNHH Finetek Việt Nam | Lô A1,3, Đường N2, khu A, KCN Hoà Mạc, thị xã Duy Tiên, tỉnh Hà Nam | Sản xuất linh kiện điện tử | 1.608 |
| 424 | Công ty TNHH Hankook AI Tec Vina | KCN Đồng Văn I, thị xã Duy Tiên, tỉnh Hà Nam | Sản xuất linh kiện điện tử | 1.129 |
| 425 | Công ty TNHH Seoul Semiconductor Vina | KCN Đồng Văn I mở rộng, thị xã Duy Tiên, tỉnh Hà Nam | Sản xuất linh kiện điện tử | 10.242 |
| 426 | Công ty FrieslandCampina Hà Nam | Cụm Công nghiệp Tây Nam, thành phố Phủ Lý, tỉnh Hà Nam | Sửa và các sản phẩm từ sữa | 4.811 |
| 427 | Công ty Cổ phần bia Sài Gòn-Phủ Lý | Thôn Quang Trung, xã Thanh Hà, huyện Thanh Liêm, tỉnh Hà Nam | Sản xuất bia | 5.998 |
| 428 | Công ty TNHH Number One Hà Nam | KCN Thanh Liêm, phường Thanh Tuyền, thành phố Phủ Lý, tỉnh Hà Nam | Sản xuất đồ uống giải khát và thực phẩm | 3.123 |
| 429 | Công ty cổ phần Hacera | KCN Châu Sơn, phường Lê Hồng Phong, thành phố Phủ Lý, tỉnh Hà Nam | Khai thác sét, cát, sỏi; sản xuất gạch men | 2.160 |
| 430 | Công ty TNHH Kortek Vina | KCN Đồng Văn IV, Xã Đại Cương, huyện Kim Bảng, tỉnh Hà Nam | Sản xuất sản phẩm điện tử dân dụng | 1.678 |
| 431 | Công ty CP thức ăn chăn nuôi Vina-Hà Nam | KCN Hòa Mạc, Phường Đồng Văn, Thị Xã Duy Tiên, Tỉnh Hà Nam | Sản xuất thức ăn chăn nuôi | 1.193 |
| 432 | Công ty CP GreenFeed Việt Nam-Chi nhánh Hà Nam | Lô E, KCN Đồng Văn II, Thị xã Duy Tiên, Tỉnh Hà Nam | Sản xuất thức ăn chăn nuôi | 2.350 |
| 433 | Công ty CP dinh dưỡng Hồng Hà | KCN Đồng Văn, Thị xã Duy Tiên, Tỉnh Hà Nam | Sản xuất thức ăn chăn nuôi | 1.452 |
| 434 | Công ty TNHH một thành viên Dệt 19/5 Hà Nội | KCN Đồng Văn, Thị xã Duy Tiên, Tỉnh Hà Nam | Dệt vải | 1.340 |
| 435 | Chi nhánh Công ty TNHH Cargill Việt Nam tại Hà Nam | KCN Đồng Văn II, Thị xã Duy Tiên, Tỉnh Hà Nam | Sản xuất thức ăn chăn nuôi | 1.211 |
| 436 | Công ty TNHH Dream Plastic | Lô C+D, KCN Châu Sơn, Thành phố Phủ Lý, Tỉnh Hà Nam | Sản xuất các sản phẩm khác từ nhựa Plastic | 2.208 |
| 437 | Công ty TNHH may Kim Bình | Cụm công nghiệp Kim Bình, Xã Kim Bình, Thành Phố Phủ Lý, Tỉnh Hà Nam | Sản xuất hàng dệt may | 1.718 |
| 438 | Công ty TNHH Vina I to | KCN hỗ trợ Đồng Văn III, Thị xã Duy Tiên, Tỉnh Hà Nam | Đúc kim loại | 1.189 |
| 439 | Công ty cổ phần gang thép Hà Nam | KCN Đồng Văn I, Thị xã Duy Tiên, Tỉnh Hà Nam | Sản xuất thép | 3.894 |
| 440 | Công ty cổ phần sản xuất và thương mại Thành Long. | Đường Lê Chân, Phường Lê Hồng Phong, Thành phố Phủ Lý, Tỉnh Hà Nam | Sản xuất thức ăn chăn nuôi | 1.974 |
| 4. Tỉnh Hải Dương |
| 441 | Công ty TNHH công nghiệp Oriental Sports | Xã Đồng Lạc, huyện Nam Sách, tỉnh Hải Dương | Sản xuất giày dép | 1.449 |
| 442 | Công ty TNHH Quốc Tế Ngân Tường | Lô 01, 02, 03 Điểm tiểu thủ công nghiệp, xã Gia Xuyên, thành phố Hải Dương, tỉnh Hải Dương | Sản xuất sợi | 4.020 |
| 443 | Công ty TNHH Giầy Ngọc Hưng | Cụm công nghiệp Lương Điền, huyện Cẩm Giàng, tỉnh Hải Dương | Sản xuất giầy dép | 2.034 |
| 444 | Công ty TNHH Vietory | Phường Hiệp An, thị xã Kinh Môn, tỉnh Hải Dương | Sản xuất giày dép | 1.547 |
| 445 | Công ty Cổ phần Giầy Cẩm Bình | Thị trấn Lai Cách, huyện Cẩm Giàng, tỉnh Hải Dương | Sản xuất giầy dép | 3040 |
| 446 | Công ty TNHH Dệt Pacipic Crystal | KCN Lai Vu, huyện Kim Thành, tỉnh Hải Dương | Sản xuất sợi, vải dệt thoi và hoàn thiện sản phẩm dệt | 16.444 |
| 447 | Công ty TNHH Best Pacific Việt Nam | Lô đất IN4.1.1 KCN VISIP, huyện Cẩm Giàng, tỉnh Hải Dương | Sản xuất vải dệt kim, vải đan móc và vải không dệt khác | 5.508 |
| 448 | Công ty TNHH Thương mại Bảo Long | KDC Bình Giang,phường Phả Lại, thành phố Chí Linh, tỉnh Hải Dương | Sản xuất kinh  doanh sợi, vải | 1.395 |
| 449 | Công ty TNHH may Tỉnh Lợi | KCN Nam Sách, thành phố Hải Dương, tỉnh Hải Dương | May trang phục (trừ trang phục từ da lông thú) | 7.330 |
| 450 | Công ty Cổ phần Tấn Hưng | Thôn Ngọc Lặc, xã Ngọc Sơn, thành phố Hải Dương, tỉnh Hải Dương | Sản xuất giấy nhăn, bìa nhăn, bao bì từ giấy và bìa | 1.082 |
| 451 | Công ty TNHH MTV Thương mại Tuấn Tài | Phường Thất Hùng, thị xã Kinh Môn, tỉnh Hải Dương | Sản xuất giấy, bao bì | 7.681 |
| 452 | Công ty TNHH Thành Dũng | Phường Long Xuyên, thị xã Kinh Môn, tỉnh Hải Dương | Sản xuất giấy nhãn và bìa nhãn | 12.057 |
| 453 | Công ty TNHH FJ Plastics Việt Nam | Cụm công nghiệp phía Tây, đường Ngô Quyền, phường Cẩm Thượng, thành phố Hải Dương, tỉnh Hải Dương | Sản xuất sản phẩm từ nhựa | 1.108 |
| 454 | Công ty TNHH Hóa nhựa Đệ nhất - Chi nhánh Hải Dương | KCN Nam Sách, phường Ái Quốc, thành phố Hải Dương, tỉnh Hải Dương | Sản xuất sản phẩm từ nhựa | 1.245 |
| 455 | Công ty TNHH Kuroda Kagaku Việt Nam | KCN Phúc Điền, huyện Cẩm Giàng, tỉnh Hải Dương | Sản xuất các sản phẩm khác từ nhựa | 1.760 |
| 456 | Công ty TNHH Nishoku Technology Việt Nam | KCN Tân Trường, huyện Cẩm Giàng, tỉnh Hải Dương | Sản xuất sản phẩm từ nhựa | 1.000 |
| 457 | Công ty TNHH Công nghệ Vĩnh Hàn Precision | KCN Phúc Điền, huyện Cẩm Giàng, tỉnh Hải Dương | Sản xuất sản phẩm khác từ nhựa | 2.035 |
| 458 | Công ty Cổ phần Trung Kiên | Thị trấn Phú Thái, huyện Kim Thành, tỉnh Hải Dương | Sản xuất bao bì từ nhựa | 3.714 |
| 459 | Công ty Cổ phần Nhựa và môi trường An Phát xanh | Cụm công nghiệp An Đồng, huyện Nam Sách, tỉnh Hải Dương | Sản xuất bao bì từ nhựa | 11.442 |
| 460 | Công ty TNHH Arion Electric Việt Nam | KCN Phúc Điền, huyện Cẩm Giàng, tỉnh Hải Dương | Sản xuất mô tơ, máy phát, biến thế điện, thiết bị phân phối và điều khiển điện | 6410 |
| 461 | Công ty TNHH Sky Dragon Việt Nam | Thôn Quàn, xã Minh Đức, huyện Tứ Kỳ, tỉnh Hải Dương | Sản xuất đồ chơi, trò chơi | 2.872 |
| 462 | Công ty TNHH During Việt Nam | Lô đất XN 1, 1, KCN Đại An mở rộng, huyện Cẩm Giàng, tỉnh Hải Dương | Sản xuất xe có động cơ | 1.709 |
| 463 | Công ty Cổ phần Chemilens Việt Nam | Lô đất XN42, I, KCN Đại An, phường Tứ Minh, thành phố Hải Dương, tỉnh Hải Dương | Sản xuất các sản phẩm phi kim loại | 2.566 |
| 464 | Công ty TNHH ShinYang Metal Việt Nam | KCN Đại An mở rộng, huyện Cẩm Giàng, tỉnh Hải Dương | Sản xuất các sản phẩm từ kim loại | 4.097 |
| 465 | Công ty TNHH Tung Yang | Xã Cẩm Phúc, huyện Cẩm Giàng, tỉnh Hải Dương | Sản xuất xe đạp và xe cho người tàn tật | 3.388 |
| 466 | Công ty TNHH Công nghệ Nissei Việt Nam | KCN Phúc Điền, huyện Cẩm Giàng, tỉnh Hải Dương | Sản xuất các thiết bị, dụng cụ điện | 2.395 |
| 467 | Công ty TNHH GFT Unique Việt Nam | Cụm công nghiệp Ngũ Hùng, xã Thanh Giang, huyện Thanh Miện, tỉnh Hải Dương | Sản xuất đồ chơi, trò chơi | 2.714 |
| 468 | Công ty TNHH SUMIDENSO Việt Nam | KCN Đại An, phường Tứ Minh, thành phố Hải Dương, tỉnh Hải Dương | Sản xuất phụ tùng và bộ phận phụ trợ cho xe có động cơ và động cơ xe | 2.304 |
| 469 | Công ty TNHH dây và cáp điện ôtô Sumiden VN | KCN Đại An, phường Tứ Minh, thành phố Hải Dương, tỉnh Hải Dương | Sản xuất phụ tùng và bộ phận phụ trợ cho xe có động cơ và động cơ xe | 5.033 |
| 470 | Công ty TNHH Việt Nam Toyo Denso | KCN Nam Sách, thành phố Hải Dương, tỉnh Hải Dương | Sản xuất phụ tùng và bộ phận phụ trợ cho xe có động cơ và động cơ xe | 3.202 |
| 471 | Công ty TNHH GFT Việt Nam | Xã Cộng Lạc, huyện Tứ Kỳ, tỉnh Hải Dương | Sản xuất, gia công chế tạo đồ chơi trẻ em | 3.738 |
| 472 | Công ty TNHH Nhôm Đông Á | Phường Tân Dân, thành phố Chí Linh, tỉnh Hải Dương | Sản xuất nhôm định hình | 12.377 |
| 473 | Công ty TNHH Kefico Việt Nam | KCN Đại An, phường Tứ Minh, thành phố Hải Dương, tỉnh Hải Dương | Sản xuất phụ tùng và bộ phận phụ trợ cho xe có động cơ và động cơ xe | 6.681 |
| 474 | Công ty TNHH KPF Việt Nam | KCN Đại An mở rộng, huyện Cẩm Giàng, tỉnh Hải Dương | Sản xuất sản phẩm khác còn lại bằng kim loại chưa được phân vào đâu | 6.446 |
| 475 | Công ty TNHH Uniden Việt Nam | Lô 5.1, KCN Tân Trường, huyện Cẩm Giàng, tỉnh Hải Dương | Sản xuất thiết bị truyền thông | 1.363 |
| 476 | Công ty TNHH Aiden Việt Nam | KCN Nam Sách, thành phố Hải Dương, tỉnh Hải Dương | Sản xuất linh kiện điện tử | 1.419 |
| 477 | Công ty TNHH Proterial Việt Nam *(tên cũ là Công ty Công ty TNHH Hitachi Cable Việt Nam)* | KCN Tân Trường, huyện Cẩm Giàng, tỉnh Hải Dương | Sản xuất dây cáp, dây điện và điện tử khác | 3.359 |
| 478 | Công ty TNHH Điện tử Iriso Việt Nam | KCN Tân Trường, huyện Cẩm Giàng, tỉnh Hải Dương | Sản xuất linh kiện điện tử | 11.193 |
| 479 | Công ty TNHH SD Global Việt Nam | KCN Đại An mở rộng, huyện Cẩm Giàng, tỉnh Hải Dương | Sản xuất linh kiện điện tử | 6.367 |
| 480 | Công ty TNHH Điện tử UMC Việt Nam | KCN Tân Trường, huyện Cẩm Giàng, tỉnh Hải Dương | Sản xuất linh kiện điện tử | 3.295 |
| 481 | Công ty TNHH Công nghiệp Brother Việt Nam | KCN Phúc Điền, huyện Cẩm Giàng, tỉnh Hải Dương | Sản xuất máy vi tính và thiết bị ngoại vi của máy vi tính | 5.578 |
| 482 | Công ty TNHH PCC Lục Xương Việt Nam | KCN Đại An mở rộng, huyện Cẩm Giàng, tỉnh Hải Dương | Sản xuất kim loại | 1.163.459 |
| 483 | Công ty TNHH Thương mại Thạch Dương | Thôn Tông Phố, xã Thanh Quang, huyện Nam Sách, tỉnh Hải Dương | Sản xuất sắt, thép, gang | 1915 |
| 484 | Công ty TNHH chế xuất sợi thép Dusco Vina | Lô 15, KCN Nam Sách, phường Ái Quốc, thành phố Hải Dương, tỉnh Hải Dương | Sản xuất kim loại | 1.385 |
| 485 | Công ty TNHH MTV Thuận Phát Hải Dương | Xã Hưng Thịnh, huyện Bình Giang, tỉnh Hải Dương | Sản xuất sắt, thép, gang | 3.654 |
| 486 | Công ty Cổ phần thép Minh Phú - Hải Dương | Lô CN7,3, KCN Tân Trường, huyện Cẩm Giàng, tỉnh Hải Dương | Sản xuất sắt, thép, gang | 4.935 |
| 487 | Công ty Cổ phần Tân Hà Kiều | Phường Minh Tân, thị xã Kinh Môn, tỉnh Hải Dương | Luyện kim - Công nghiệp nặng | 35.765 |
| 488 | Công ty Cổ phần Luyện kim Tân Nguyên Hải Dương VN | Phường Phú Thứ, thị xã Kinh Môn, tỉnh Hải Dương | Luyện kim - Công nghiệp nặng | 93.708 |
| 489 | Công ty Cổ phần Thép Hòa Phát | Phường Hiệp Sơn, thị xã Kinh Môn, tỉnh Hải Dương | Sản xuất gang thép | 849.930 |
| 490 | Công ty Cổ phần Sản xuất dịch vụ thương mại Hoàng Gia Việt | Cụm công nghiệp Kỳ Sơn, xã Đại Sơn, huyện Tứ Kỳ, tỉnh Hải Dương* (địa chỉ cũ tại Phường Bình Hàn, Tp Hải Dương)* | Xay xát và sản xuất bột | 2.596 |
| 491 | Công ty Cổ phần Bia Hà Nội - Hải Dương | Phố Quán Thánh, phường Bình Hàn, thành phố Hải Dương, tỉnh Hải Dương | Sản xuất bia và mạch nha ủ men bia | 1930 |
| 492 | Công ty Cổ phần Redstar Cera *(tên cũ là Công ty cổ phần Trúc Thôn)* | Thôn Trúc, phường Cộng Hòa, thành phố Chí Linh, tỉnh Hải Dương | Sản xuất gạch ốp lát, gạch chịu lửa và đất đèn | 25.340 |
| 5. Thành phố Hải Phòng |
| 493 | Công ty Cổ phần Nhiệt điện Hải Phòng | Xã Tam Hưng, huyện Thủy Nguyên, thành phố Hải Phòng | Sản xuất điện | 2.490.433 |
| 494 | Công ty TNHH Tân Vĩnh Hưng | Tổ 6 cụm 10 Nam Phát, Phường Đằng Giang, Quận Ngô Quyền | Sản xuất các loại hàng dệt khác chưa được phân vào đâu | 1.115 |
| 495 | Công ty TNHH Giầy Stateway Việt Nam | Phường Hưng Đạo, quận Dương Kinh, thành phố Hải Phòng | Sản xuất giầy dép | 1.015 |
| 496 | Công ty TNHH Sao Vàng | Thị trấn Trường Sơn, huyện An Lão, thành phố Hải Phòng | Sản phẩm giầy da | 1.232 |
| 497 | Công ty Cổ phần Thuận Ích | Tầng 3 tòa nhà Tower, 32 Trần Phú, quận Ngô Quyền, thành phố Hải Phòng | Sản xuất giày, dép | 1.609 |
| 498 | Công ty TNHH Đình Vàng | 1167 Nguyễn Bỉnh Khiêm, phường Đông Hải, quận Hải An, thành phố Hải Phòng | Sản xuất giầy dép da xuất khẩu | 1.388 |
| 499 | Công ty TNHH công nghiệp giầy Aurora Việt Nam | Xã Thiên Hương, huyện Thủy Nguyên, thành phố Hải Phòng | Sản xuất giầy xuất khẩu | 3.662 |
| 500 | Công ty TNHH Jasan Việt Nam | Số 2, đường 17, KCN VSIP, huyện Thủy Nguyên, thành phố Hải Phòng | Sản xuất trang phục dệt kim, đan móc | 4.158 |
| 501 | Công ty TNHH Regina Miracle international Việt Nam | Số 9 đường Đông Tây, KCN VSIP, huyện Thủy Nguyên, thành phố Hải Phòng | May trang phục (trừ trang phục từ da lông thú) | 48.404 |
| 502 | Công ty Cổ phần đầu tư Quốc tế Thủy Hải | Thôn Song Mai, xã An Hồng, huyện An Dương, thành phố Hải Phòng | Sản xuất bột giấy, giấy và bìa | 1.433 |
| 503 | Công ty Cổ phần hoá chất Minh Đức | Xã Minh Đức, huyện Thủy Nguyên, thành phố Hải Phòng | Sản xuất hóa chất cơ bản | 8.520 |
| 504 | Công ty TNHH Vinh An | Xã Kênh Giang, huyện Thủy Nguyên, thành phố Hải Phòng | Sản xuất nhựa | 1.107 |
| 505 | Công ty TNHH Terai Vina | KCN Nomura, huyện An Dương, thành phố Hải Phòng | Sản xuất sản phẩm từ nhựa tổng hợp | 1.190 |
| 506 | Công ty TNHH Fujikura Composites Hải Phòng | Lô D3, D6, KCN Nomura Hải Phòng, huyện An Dương, thành phố Hải Phòng | Sản xuất nhựa và cao su tổng hợp dạng nguyên sinh | 1.281 |
| 507 | Công ty TNHH SIK Việt Nam | KCN Nomura, huyện An Dương, thành phố Hải Phòng | Sản xuất sản phẩm từ nhựa | 1.390 |
| 508 | Công ty TNHH Zhongxin YaTai | Lô L1.9A và L1.9B KCN Đồ Sơn, quận Đồ Sơn, thành phố Hải Phòng | Sản xuất sản phẩm từ nhựa | 1.379 |
| 509 | Công ty TNHH Cheng - V | Lô L3.5B KCN Đồ Sơn, thành phố Hải Phòng | Sản xuất sản phẩm từ cao su và nhựa | 1.434 |
| 510 | Công ty TNHH Takata Precision Việt Nam | KCN Nomura, huyện An Dương, thành phố Hải Phòng | Sản xuất và lắp ráp linh kiện nhựa kỹ thuật có độ chính xác cao | 1.499 |
| 511 | Công ty công nghiệp nhựa Chinhuei | Km9, đường Phạm Văn Đồng, phường Hải Thành, quận Dương Kinh, thành phố Hải Phòng | Sản xuất sản phẩm từ nhựa | 1.987 |
| 512 | Công ty TNHH nhựa Phú Lâm | Km9, đường Phạm Văn Đồng, phường Hải Thành, quận Dương Kinh, thành phố Hải Phòng | Sản phẩm giả da, màng nhựa | 6.307 |
| 513 | Công ty TNHH sản xuất lốp xe Bridgestone Việt Nam | KCN Đình Vũ, quận Hải An, thành phố Hải Phòng | Sản xuất lốp ô tô | 2.418 |
| 514 | Công ty Cổ phần nhựa Thiếu niên Tiền Phong | Số 2, đường An Đà, quận Ngô Quyền, thành phố Hải Phòng | Sản xuất ống nhựa PVC các loại | 6.024 |
| 515 | Công ty TNHH Sunmax Việt Nam | Km8, đường Phạm Văn Đồng, phường Hải Thành, quận Dương Kinh, thành phố Hải Phòng | Sản xuất sản phẩm từ cao su và nhựa | 2.430 |
| 516 | Công ty TNHH Nichias Hải Phòng | KCN Nomura, huyện An Dương, thành phố Hải Phòng | Sản xuất gioăng đệm, bộ lọc khí | 1.671 |
| 517 | Công ty TNHH Yazaki Hải Phòng Việt Nam | KCN Nomura, huyện An Dương, thành phố Hải Phòng | Sản xuất phụ tùng và bộ phận phụ trợ cho xe có động cơ và động cơ xe | 1.005 |
| 518 | Công ty Cổ phần Đầu tư sản xuất và thương mại Tuấn Anh | Km15, Quốc Lộ 5, xã An Hưng, huyện An Dương, thành phố Hải Phòng | Sản xuất đệm | 1.156 |
| 519 | Công ty TNHH Tohoku Pioneer Việt Nam | KCN Nomura, huyện An Dương, thành phố Hải Phòng | Sản xuất thiết bị điện | 1.243 |
| 520 | Công ty CNTT Nam Triệu | Xã Tam Hưng, huyện Thủy Nguyên, thành phố Hải Phòng | Đóng mới, sửa chữa tàu thủy | 1.428 |
| 521 | Công ty TNHH Fuji Xerox Hải Phòng | Lô IN,1,3, KCN VSIP, huyện Thủy Nguyên, thành phố Hải Phòng | Sản xuất máy in, máy Photocopy | 1.337 |
| 522 | Công ty TNHH MTV Đóng tàu Phà Rừng | Thị trấn Minh Đức, huyện Thủy Nguyên, thành phố Hải Phòng | Đóng tàu và cấu kiện nổi | 1.239 |
| 523 | Công ty TNHH Synztec Việt Nam | KCN Nomura, huyện An Dương, thành phố Hải Phòng | Sản xuất và kinh doanh các linh kiện phụ kiện | 1.838 |
| 524 | Công ty TNHH Iko Thompson Việt Nam | KCN Nomura, huyện An Dương, thành phố Hải Phòng | Sản xuất vòng bi và các máy móc | 1.865 |
| 525 | Công ty TNHH HT Solar Việt Nam | Lô F3 KCN Tràng Duệ, xã Hồng Phong, huyện An Dương, thành phố Hải Phòng | Sản xuất thiết bị sử dụng năng lượng chiết lưu | 4.329 |
| 526 | Công ty TNHH Toyoda Gosei Hải Phòng | KCN Nomura, huyện An Dương, thành phố Hải Phòng | Sản xuất phụ tùng ô tô | 2.074 |
| 527 | Công ty Cổ phần Polyfill | Lô CN1, 01 KCN Nam Đình Vũ, thành phố Hải Phòng | Sản xuất hạt filer masterbatch và compound | 5.055 |
| 528 | Công ty Cổ phần cáp điện LS VINA | Cầu Bính, phường Sở Dầu, quận Hồng Bàng, thành phố Hải Phòng | Sản xuất các loại cáp điện | 4.726 |
| 529 | Công ty TNHH Toyota Boshoku Hải Phòng | KCN Nomura, huyện An Dương, thành phố Hải Phòng | Sản xuất linh kiện ôtô | 4.639 |
| 530 | Công ty TNHH Hapaco | Thôn Tiên Nông, xã Đại Bản, huyện An Dương, thành phố Hải Phòng | Sản xuất bao bì bằng gỗ | 6.823 |
| 531 | Công ty TNHH Thủy tinh Sanmiguel Yamamura Hải Phòng | Số 17A Ngô quyền, thành phố Hải Phòng | Sản xuất thủy tinh và sản phẩm từ thủy tinh | 6.942 |
| 532 | Công ty liên doanh sản xuất thép Vinausteel | Km9, phường Quán Toan, quận Hồng Bàng, thành phố Hải Phòng | Sản xuất thép thanh xây dựng | 7.024 |
| 533 | Công ty TNHH Sản xuất và kinh doanh Vinfast | KKT Đình Vũ, thị trấn Cát Hải, huyện Cát Hải, thành phố Hải Phòng | Sản xuất ô tô | 9.083 |
| 534 | Công ty sản xuất thép ÚC SSE | Km9, phường Quán Toan, quận Hồng Bàng, thành phố Hải Phòng | Sản xuất các cấu kiện kim loại | 9.863 |
| 535 | Công ty TNHH CN chính xác EVA Hải Phòng | 139 Đại lộ Đông Tây, KCN VSIP, thành phố Hải Phòng | Sản xuất Khuôn mẫu chính xác | 1.165 |
| 536 | Công ty TNHH Woosung Electronics | Lô k2, KCN Tràng Duệ, huyện An Dương, thành phố Hải Phòng | Sản xuất linh kiện điện tử | 1.695 |
| 537 | Công ty TNHH Ohsung Vina | Lô C5,1 KcN Tràng Duệ, huyện An Dương, thành phố Hải Phòng | Sản xuất linh kiện điện tử | 1.634 |
| 538 | Công ty TNHH Krems Việt Nam | Lô N4, kCn Tràng Duệ, huyện An Dương, thành phố Hải Phòng | Sản xuất linh kiện điện tử | 1.923 |
| 539 | Công ty TNHH Công nghệ Kyocera Mita Việt Nam | Lô 56A, KcN VSIP, huyện Thủy Nguyên, thành phố Hải Phòng | Sản xuất máy móc và thiết bị văn phòng (trừ máy vi tính và thiết bị ngoại vi của máy vi tính) | 1.672 |
| 540 | Công ty TNHH Heesung Electronics Việt Nam | Lô G1 kCn Tràng Duệ, huyện An Dương, thành phố Hải Phòng | Sản xuất linh kiện điện tử | 1.631 |
| 541 | Công ty TNHH Rorze Robotech | KCN Nomura, huyện An Dương, thành phố Hải Phòng | Sản xuất rô bốt công nghiệp | 2.490 |
| 542 | Công ty TNHH Halla Electronics Vina | Lô L4, KCN Tràng Duệ, xã Hồng Phong, huyện An Dương, thành phố Hải Phòng | Sản xuất linh kiện điện tử | 2.430 |
| 543 | Công ty TNHH Haengsung Electronics | Lô K1, kCn Tràng Duệ, huyện An Dương, thành phố Hải Phòng | Sản xuất linh kiện điện tử | 3.037 |
| 544 | Công ty TNHH điện tử Chilisin Việt Nam | Số 143,145, đường số 10, KCN VSIP, huyện Thủy Nguyên, thành phố Hải Phòng | Sản xuất thiết bị điện tử | 6.923 |
| 545 | Công ty TNHH điện tử Dong Yang | Lò C5, 3, KCN Tràng Duệ, huyện An Dương, thành phố Hải Phòng | Sản xuất linh kiện điện tử | 3.212 |
| 546 | Công ty TNHH LG Electronics Việt Nam - Hải Phòng | KCN Tràng Duệ, An Dương, thành phố Hải Phòng | Sản xuất thiết bị điện tử | 10.627 |
| 547 | Công ty TNHH LG Innotek Việt Nam Hải Phòng | Lô I4, KCN Tràng Duệ, huyện An Dương, thành phố Hải Phòng | Sản xuất linh kiện điện tử | 10.672 |
| 548 | Công ty TNHH LG Display Việt Nam Hải Phòng | Lô E KcN Tràng Duệ, huyện An Dương, thành phố Hải Phòng | Sản xuất linh kiện điện tử | 23.105 |
| 549 | Công ty TNHH Ống thép Vinapipe | Km9, phường Quán Toan, quận Hồng Bàng, thành phố Hải Phòng | Sản xuất sắt, thép, gang | 1.319 |
| 550 | Công ty TNHH Cơ khí Việt Nhật | KCN Nam Cầu Kiền, huyện Thủy Nguyên, thành phố Hải Phòng | Đúc sắt thép | 1.456 |
| 551 | Công ty Cổ phần Kinh doanh chế biến hàng Xuất nhập khẩu Đà Nằng | Số 31 Đông Khê, phường Đông Khê, Quận Ngô Quyền, thành phố Hải Phòng | Đúc kim loại | 3.068 |
| 552 | Công ty TNHH đầu tư phát triển Nam Thuận | KCN Đình Vũ, thành phố Hải Phòng | Sản xuất sắt, thép, gang | 5.339 |
| 553 | Công ty Cổ phần luyện thép Việt Ý | KCN Cầu Kiền, xã Hoàng Động, huyện Thủy Nguyên, thành phố Hải Phòng | Sản xuất phôi thép | 33.423 |
| 554 | Công ty Cổ phần Bia Hà Nội - Hải Phòng | 16 Lạch Tray, quận Ngô Quyền, thành phố Hải Phòng | SP bia hơi, bia chai | 2.046 |
| 555 | Công ty Cổ phần Habeco Hải Phòng | Thị trấn Trường Sơn, An Lão, thành phố Hải Phòng | Sản xuất Bia chai, lon | 5.505 |
| 556 | Công ty TNHH chế tạo Canadian Solar Việt Nam | D11 số 5 đường Đông Tây, KcN VSIP, Thủy Nguyên, thành phố Hải Phòng | Bán buôn máy móc, thiết bị và phụ tùng máy khác chưa được phân vào đâu | 1.872 |
| 557 | Công ty TNHH Vân Long | KCN An Trì (Số 15A An Trì, phường Hùng Vương, quận Hồng Bàng, thành phố Hải Phòng | Cho thuê máy móc, thiết bị và đồ dùng hữu hình khác chưa được phân vào đâu | 1.582 |
| 558 | Công ty Cổ phần Vicem Bao bì Hải Phòng | Số 3 đường Hà Nội, phường Sở Dầu, quận Hồng Bàng, thành phố Hải Phòng | Sản xuất giấy nhăn, bìa nhăn, bao bì từ giấy và bìa | 141.449 |
