Phụ lục II
DANH MỤC CÁC CƠ SỞ PHÁT THẢI KHÍ NHÀ KÍNH PHẢI THỰC HIỆN KIỂM KÊ KHÍ NHÀ KÍNH
NGÀNH CÔNG THƯƠNG
*(Kèm theo Quyết định số      /2024/QĐ-TTg ngày     tháng      năm 2024 của Thủ tướng Chính phủ)*
| STT | Tên cơ sở | Địa chỉ | Ngành nghề/Loại hình kinh doanh | Tiêu thụ năng lượng (TOE) |
| --- | --- | --- | --- | --- |
| I. TÂY BẮC BỘ |
| 32 | Công ty Cổ phần An Tiến Indusreies | KCN phía Nam, xã Văn Tiến, thành phố Yên Bái, tỉnh Yên Bái | Sản xuất chất nhựa phụ gia | 2.841 |
| 33 | Công ty Cổ phần Quốc tế Khoáng sản Việt Nam | KCN phía Nam, xã Văn Tiến, thành phố Yên Bái, tỉnh Yên Bái | Sản xuất bột đá canxi cacbonat | 2.315 |
| 34 | Công ty TNHH MTV Đá trắng Bảo Lai | Thôn Hợp Nhất, xã Thịnh Hưng, huyện Yên Bình, tỉnh Yên Bái | Khai thác, cắt và chế biến đá hoa trắng | 2.755 |
| 35 | Công ty Cổ phần Khoáng sản Red Stone | KCN Phía Nam, xã Văn Tiến, thành phố Yên Bái, tỉnh Yên Bái | Sản xuất sản phẩm từ nhựa | 1.861 |
| 36 | Công ty TNHH Khoáng sản V.STAR | Tổ 9, thị trấn Yên Bình, huyện Yên Bình, tỉnh Yên Bái | Sản xuất bột CaCO3 | 1.008 |
| 37 | Công ty Cổ Phần Khai Khoáng Minh Đức | Thôn Yên Thịnh, xã Hưng Thịnh, Huyện Trấn Yên,tỉnh Yên Bái | Khai thác chế biến quặng sắt | 1.116 |
| II. ĐÔNG BẮC BỘ |
| 1. Tỉnh Phú Thọ |
| 38 | Công ty cổ phần xi măng Phú Thọ | Khu 12, Thị trấn Thanh Ba, huyện Thanh Ba, tỉnh Phú Thọ | Sản xuất xi măng | 25.716 |
| 39 | Công ty cổ phần xi măng VIMCEM Sông Thao | Xã Ninh Dân, huyện Thanh Ba, tỉnh Phú Thọ | Sản xuất xi măng | 950.944 |
| 40 | Công ty cổ phần Thắng Cường | Lô D và C1, CCN Bạch Hạc, phường Bạch Hạc, thành phố Việt Trì, tỉnh Phú Thọ | Sản xuất kinh doanh gạch ốp lát cao cấp | 207.418 |
| 41 | Công ty cổ phần Takao Việt Nam | Lô B, KCN Trung Hà, xã Dân Quyền, huyện Tam Nông, tỉnh Phú Thọ | Sản xuất vật liệu xây dựng | 1.358.937 |
| 42 | Công ty cổ phần gốm sứ HACECO | Khu Phố Ẻn, xã Mạn Lạn, huyện Thanh Ba, tỉnh Phú Thọ | Sản xuất vật liệu xây dựng | 4.717 |
