ma,loai,so_plugin,so_lan,plugins,ban_goc_tai,ngay_ban_hanh,hieu_luc,bi_sua_doi_boi,bi_thay_the_boi,du_thao_thay_the,ghi_chu
NĐ 275/2026,NĐ,7,170,bpb-sct-vn;hc-sct-vn;hl-vlncn-sct-vn;kho-vlncn-sct-vn;sd-vlncn-sct-vn;xp-hc-vlncn-sct-vn;xp-sct-vn,xp-hc-vlncn-sct-vn;xp-sct-vn,,25/8/2026,,,,"Xử phạt hóa chất, VLNCN, tiền chất — thay NĐ 71/2019; Đ63 có Giám đốc Sở CT"
NĐ 281/2026,NĐ,1,5,xp-sct-vn,xp-sct-vn,,,,,,
NĐ 283/2026,NĐ,1,14,xp-sct-vn,xp-sct-vn,,10/9/2026,,,,"Xử phạt lao động, ATVSLĐ — chưa có plugin ATVSLĐ riêng"
NĐ 288/2026,NĐ,1,6,xp-sct-vn,xp-sct-vn,,,,,,
NĐ 29/2026,NĐ,1,8,bvmt-sct-vn,bvmt-sct-vn;pccc-sct-vn,,,,,,
NĐ 303/2026,NĐ,3,25,bvmt-sct-vn;kccn-sct-vn;xp-sct-vn,,,15/9/2026,,,,Sửa NĐ 32/2024 về CCN
NĐ 311/2026,NĐ,1,17,xp-sct-vn,xp-sct-vn,06/8/2026,26/9/2026,,,,Sửa NĐ 189/2025
NĐ 46/2026,NĐ,2,18,attp-sct-vn;xp-sct-vn,attp-sct-vn,,,,,TẠM NGƯNG theo NQ 15/2026,ATTP — đọc attp-sct-vn reference 08 trước khi dẫn
NĐ 48/2026,NĐ,2,49,bvmt-sct-vn;kccn-sct-vn,bvmt-sct-vn,,,,,,
NĐ 49/2026,NĐ,1,2,kccn-sct-vn,bvmt-sct-vn,,,,,,
NĐ 50/2026,NĐ,1,1,kccn-sct-vn,,,,,,,
NĐ 61/2026,NĐ,1,1,xp-sct-vn,,,,,,,
NĐ 67/2026,NĐ,1,6,kho-vlncn-sct-vn,,,,,,,
NĐ 81/2026,NĐ,1,1,xp-sct-vn,,,,,,,
NĐ 83/2026,NĐ,1,11,bvmt-sct-vn,bvmt-sct-vn,,,,,,
NĐ 87/2026,NĐ,1,1,xp-sct-vn,,,,,,,
NĐ 90/2026,NĐ,2,2,attp-sct-vn;xp-sct-vn,,,,,,,
NĐ 96/2026,NĐ,1,7,kccn-sct-vn,,,,,,,
NĐ 10/2025,NĐ,2,3,kccn-sct-vn;qlks-sct-vn,hl-vlncn-sct-vn;kho-vlncn-sct-vn;sd-vlncn-sct-vn;tkm-sct-vn,,,,,,
NĐ 105/2025,NĐ,9,132,hnh-sct-vn;kccn-sct-vn;kho-vlncn-sct-vn;pccc-sct-vn;sd-vlncn-sct-vn;tkm-sct-vn;vbhc-vn;xd-sct-vn;xp-sct-vn,hnh-sct-vn,,,,,,Chi tiết Luật PCCC 55/2024; kiểm tra định kỳ Phụ lục II
NĐ 106/2025,NĐ,2,30,pccc-sct-vn;xp-sct-vn,xp-sct-vn,,,,,,Xử phạt PCCC
NĐ 119/2025,NĐ,1,7,bvmt-sct-vn,bvmt-sct-vn,,,,,,
NĐ 131/2025,NĐ,1,4,bvmt-sct-vn,,,,,,,
NĐ 136/2025,NĐ,2,10,bvmt-sct-vn;qlks-sct-vn,,,,,,,
NĐ 139/2025,NĐ,6,42,attp-sct-vn;hl-vlncn-sct-vn;hnh-sct-vn;kccn-sct-vn;pccc-sct-vn;sd-vlncn-sct-vn,kccn-sct-vn,,,,,,
NĐ 140/2025,NĐ,3,22,kho-vlncn-sct-vn;tkm-sct-vn;xd-sct-vn,xd-sct-vn,,,,,,
NĐ 144/2025,NĐ,3,21,kho-vlncn-sct-vn;tkm-sct-vn;xd-sct-vn,xd-sct-vn,,,,,,
NĐ 145/2025,NĐ,1,1,kccn-sct-vn,,,,,,,
NĐ 146/2025,NĐ,6,74,attp-sct-vn;hc-sct-vn;hl-vlncn-sct-vn;hnh-sct-vn;kho-vlncn-sct-vn;sd-vlncn-sct-vn,hc-sct-vn;kho-vlncn-sct-vn;sd-vlncn-sct-vn,,,,,,"Sửa NĐ 181/2024 (phân cấp, phân quyền); Đ24; k5 Đ37 ATTP"
NĐ 178/2025,NĐ,2,7,kccn-sct-vn;xd-sct-vn,xd-sct-vn,,,,,,
NĐ 186/2025,NĐ,1,2,kccn-sct-vn,,,,,,,
NĐ 187/2025,NĐ,1,5,vbhc-vn,,,,,,,
NĐ 189/2025,NĐ,6,50,attp-sct-vn;hc-sct-vn;hnh-sct-vn;sd-vlncn-sct-vn;xp-hc-vlncn-sct-vn;xp-sct-vn,xp-sct-vn,01/7/2025,01/7/2025,NĐ 311/2026 (hiệu lực 26/9/2026),,,Thẩm quyền xử phạt các chức danh sau sắp xếp; k2 Đ6 GĐ Sở 80% trần; k2 Đ21 chuyển đổi chức danh
NĐ 190/2025,NĐ,3,19,hnh-sct-vn;xp-hc-vlncn-sct-vn;xp-sct-vn,xp-sct-vn,,,,,,
NĐ 193/2025,NĐ,2,91,qlks-sct-vn;tkm-sct-vn,qlks-sct-vn,,,,,,
