ma,loai,so_plugin,so_lan,plugins,ban_goc_tai,ngay_ban_hanh,hieu_luc,bi_sua_doi_boi,bi_thay_the_boi,du_thao_thay_the,ghi_chu
NĐ 2/2003,NĐ,1,1,pccc-sct-vn,,,,,,,
TT 1/2026,TT,1,18,hc-sct-vn,kccn-sct-vn,,,,,,
TT 10/2026,TT,1,3,attp-sct-vn,bvmt-sct-vn;kccn-sct-vn;qlks-sct-vn,,,,,,
TT 11/2026,TT,3,15,attp-sct-vn;bvmt-sct-vn;qlks-sct-vn,bvmt-sct-vn;qlks-sct-vn;xd-sct-vn,,,,,,
TT 15/2026,TT,2,31,hnh-sct-vn;sd-vlncn-sct-vn,attp-sct-vn;bvmt-sct-vn;hnh-sct-vn;kccn-sct-vn,,,,,,
TT 2/2026,TT,1,7,hc-sct-vn,,,,,,,
TT 22/2026,TT,1,16,attp-sct-vn,,,,,,,
TT 26/2026,TT,7,156,hc-sct-vn;hl-vlncn-sct-vn;hnh-sct-vn;kho-vlncn-sct-vn;qlks-sct-vn;sd-vlncn-sct-vn;vbhc-vn,hc-sct-vn;hnh-sct-vn;kccn-sct-vn;qlks-sct-vn;tkm-sct-vn,,29/5/2026 (một phần),,,,"TT-BCT sửa TT 38/2025, 23/2024… — HHNH loại 5, 8 về UBND tỉnh"
TT 31/2026,TT,1,3,bvmt-sct-vn,bvmt-sct-vn,,,,,,
TT 34/2026,TT,5,23,attp-sct-vn;kccn-sct-vn;kho-vlncn-sct-vn;tkm-sct-vn;xd-sct-vn,xd-sct-vn,,,,,,
TT 36/2026,TT,1,1,xd-sct-vn,xd-sct-vn,,,,,,
TT 39/2026,TT,3,5,attp-sct-vn;kho-vlncn-sct-vn;xd-sct-vn,bvmt-sct-vn;xd-sct-vn,,,,,,
TT 4/2026,TT,1,27,qlks-sct-vn,bvmt-sct-vn,,,,,,
TT 48/2026,TT,1,4,bvmt-sct-vn,bvmt-sct-vn,,,,,,
TT 5/2026,TT,1,1,qlks-sct-vn,bvmt-sct-vn;hnh-sct-vn;qlks-sct-vn,,,,,,
TT 55/2026,TT,1,1,kccn-sct-vn,,,,,,,
TT 9/2026,TT,4,29,attp-sct-vn;bvmt-sct-vn;hl-vlncn-sct-vn;sd-vlncn-sct-vn,,,,,,,
TT 1/2025,TT,1,1,bvmt-sct-vn,,,,,,,
TT 103/2025,TT,1,1,pccc-sct-vn,,,,,,,
TT 16/2025,TT,1,1,kccn-sct-vn,,,,,,,
TT 17/2025,TT,1,3,attp-sct-vn,bvmt-sct-vn,,,,,,
TT 2/2025,TT,3,8,kho-vlncn-sct-vn;tkm-sct-vn;xd-sct-vn,kccn-sct-vn;xd-sct-vn,,,,,,
TT 24/2025,TT,1,22,qlks-sct-vn,bvmt-sct-vn;qlks-sct-vn;xp-sct-vn,,,,,,
TT 31/2025,TT,3,47,qlks-sct-vn;tkm-sct-vn;xp-sct-vn,tkm-sct-vn,,,,,,
TT 33/2025,TT,1,1,qlks-sct-vn,,,,,,,
TT 34/2025,TT,1,1,qlks-sct-vn,kccn-sct-vn,,,,,,
TT 35/2025,TT,1,1,qlks-sct-vn,,,,,,,
TT 36/2025,TT,2,51,pccc-sct-vn;qlks-sct-vn,qlks-sct-vn,,,,,,
TT 37/2025,TT,3,7,kccn-sct-vn;pccc-sct-vn;qlks-sct-vn,,,,,,,
TT 38/2025,TT,8,110,attp-sct-vn;hl-vlncn-sct-vn;hnh-sct-vn;kho-vlncn-sct-vn;pccc-sct-vn;qlks-sct-vn;sd-vlncn-sct-vn;vbhc-vn,bvmt-sct-vn;kho-vlncn-sct-vn;sd-vlncn-sct-vn,,,,,,
TT 40/2025,TT,1,8,qlks-sct-vn,,,,,,,
TT 43/2025,TT,1,33,qlks-sct-vn,qlks-sct-vn,,,,,,
TT 47/2025,TT,1,2,kccn-sct-vn,,,,,,,
TT 49/2025,TT,1,1,qlks-sct-vn,,,,,,,
TT 56/2025,TT,3,44,hc-sct-vn;xp-hc-vlncn-sct-vn;xp-sct-vn,xp-hc-vlncn-sct-vn;xp-sct-vn,28/11/2025,,,,,TT-BCT hướng dẫn kiểm tra chuyên ngành NĐ 217/2025 — 10 mẫu
TT 6/2025,TT,1,1,bvmt-sct-vn,bvmt-sct-vn;hl-vlncn-sct-vn,,,,,,
TT 67/2025,TT,1,4,qlks-sct-vn,qlks-sct-vn,,,,,,
TT 7/2025,TT,1,9,bvmt-sct-vn,,,,,,,
TT 72/2025,TT,1,3,sd-vlncn-sct-vn,,,,,,,
TT 8/2025,TT,1,12,bvmt-sct-vn,bvmt-sct-vn;qlks-sct-vn,,,,,,
TT 9/2025,TT,2,4,tkm-sct-vn;xd-sct-vn,qlks-sct-vn,,,,,,
TT 91/2025,TT,1,1,qlks-sct-vn,,,,,,,
TT 1/2024,TT,1,1,attp-sct-vn,hc-sct-vn,,,,,,
TT 14/2024,TT,3,30,kccn-sct-vn;vbhc-vn;xp-sct-vn,bvmt-sct-vn;kccn-sct-vn,,,,,,
TT 15/2024,TT,2,3,xp-hc-vlncn-sct-vn;xp-sct-vn,kho-vlncn-sct-vn;qlks-sct-vn;sd-vlncn-sct-vn,,,,,,
TT 19/2024,TT,1,3,hc-sct-vn,bvmt-sct-vn;hc-sct-vn,,,,,,
TT 23/2024,TT,7,113,hl-vlncn-sct-vn;hnh-sct-vn;kho-vlncn-sct-vn;qlks-sct-vn;sd-vlncn-sct-vn;xp-hc-vlncn-sct-vn;xp-sct-vn,hnh-sct-vn;kho-vlncn-sct-vn;sd-vlncn-sct-vn,,,,,,
TT 35/2024,TT,1,2,bvmt-sct-vn,hnh-sct-vn,,,,,,
TT 36/2024,TT,1,1,bvmt-sct-vn,,,,,,,
TT 38/2024,TT,1,1,bvmt-sct-vn,,,,,,,
TT 41/2024,TT,1,3,sd-vlncn-sct-vn,,,,,,,
TT 47/2024,TT,1,1,hnh-sct-vn,,,,,,,
TT 75/2024,TT,3,12,hl-vlncn-sct-vn;kho-vlncn-sct-vn;sd-vlncn-sct-vn,sd-vlncn-sct-vn,,,,,,
TT 98/2024,TT,2,12,hl-vlncn-sct-vn;sd-vlncn-sct-vn,hl-vlncn-sct-vn;sd-vlncn-sct-vn,,,,,,
TT 28/2023,TT,2,5,bvmt-sct-vn;xd-sct-vn,bvmt-sct-vn,,,,,,
TT 37/2023,TT,1,1,hnh-sct-vn,,,,,,,
TT 38/2023,TT,1,15,bvmt-sct-vn,bvmt-sct-vn,,,,,,
TT 43/2023,TT,1,4,attp-sct-vn,attp-sct-vn,,,,,,
TT 1/2022,TT,1,10,bvmt-sct-vn,,,,,,,
TT 2/2022,TT,1,7,bvmt-sct-vn,,,,,,,
TT 42/2022,TT,2,2,xp-hc-vlncn-sct-vn;xp-sct-vn,,,,,,,
TT 10/2021,TT,1,12,kho-vlncn-sct-vn,,,,,,,
TT 14/2021,TT,1,1,kccn-sct-vn,,,,,,,
TT 6/2021,TT,4,34,kho-vlncn-sct-vn;pccc-sct-vn;tkm-sct-vn;xd-sct-vn,,,,,,,
TT 13/2020,TT,1,3,attp-sct-vn,,,,,,,
TT 17/2020,TT,1,1,tkm-sct-vn,xp-sct-vn,,,,,,
TT 28/2020,TT,2,4,kccn-sct-vn;vbhc-vn,,,,,,,
TT 37/2020,TT,1,7,hnh-sct-vn,hnh-sct-vn,,,,,,
TT 47/2020,TT,1,2,kho-vlncn-sct-vn,kho-vlncn-sct-vn,,,,,,
TT 48/2020,TT,1,1,hc-sct-vn,,,,,,,
TT 24/2019,TT,1,1,attp-sct-vn,,,,,,,
TT 25/2019,TT,1,1,xp-sct-vn,,,,,,,
TT 32/2019,TT,2,9,kho-vlncn-sct-vn;sd-vlncn-sct-vn,kho-vlncn-sct-vn,,,,,,
TT 13/2018,TT,1,1,qlks-sct-vn,,,,,,,
TT 16/2018,TT,1,1,hnh-sct-vn,hnh-sct-vn,,,,,,
TT 24/2018,TT,1,1,qlks-sct-vn,,,,,,,
TT 38/2018,TT,1,1,attp-sct-vn,,,,,,,
TT 43/2018,TT,2,15,attp-sct-vn;xp-sct-vn,attp-sct-vn,,,,,,
TT 57/2018,TT,1,5,attp-sct-vn,attp-sct-vn,,,,,,
TT 8/2018,TT,1,1,attp-sct-vn,,,,,,,
TT 32/2017,TT,1,2,hc-sct-vn,,,,,,,
TT 40/2017,TT,1,1,qlks-sct-vn,,,,,,,
TT 26/2016,TT,1,25,tkm-sct-vn,,,,,,,
TT 3/2016,TT,1,1,tkm-sct-vn,,,,,,,
TT 43/2016,TT,1,2,qlks-sct-vn,,,,,,,
TT 11/2015,TT,1,1,hnh-sct-vn,,,,,,,
TT 35/2015,TT,1,16,bvmt-sct-vn,,,,,,,
TT 39/2015,TT,1,2,pccc-sct-vn,,,,,,,
TT 57/2015,TT,1,2,attp-sct-vn,,,,,,,
TT 10/2012,TT,1,1,kho-vlncn-sct-vn,,,,,,,
TT 33/2012,TT,1,13,tkm-sct-vn,,,,,,,
TT 15/2009,TT,1,2,tkm-sct-vn,,,,,,,
TT 20/2009,TT,1,4,tkm-sct-vn,,,,,,,
TT 23/2009,TT,1,2,tkm-sct-vn,,,,,,,
TT 3/2009,TT,1,3,tkm-sct-vn,,,,,,,
TT 40/2009,TT,1,1,tkm-sct-vn,,,,,,,
TT 3/2007,TT,1,8,tkm-sct-vn,,,,,,,
QĐ 5116/QĐ-SCT,QĐ,4,17,pccc-sct-vn;quy-hoach-ct-vn;vbhc-vn;xp-sct-vn,xp-sct-vn,20/8/2026,20/8/2026,,,,Giao PTP phụ trách khoáng sản + CV QLCN lập biên bản VPHC khoáng sản — bản ký số xp-sct-vn/van-ban-goc/khoang-san
QĐ 4875/QĐ-SCT,QĐ,2,5,xp-hc-vlncn-sct-vn;xp-sct-vn,,,,,,,
QĐ 3728/QĐ-SCT,QĐ,1,1,hl-vlncn-sct-vn,,,,,,,
QĐ 3488/QĐ-SCT,QĐ,1,3,sct-laocai-org-vn,,,,,,,
QĐ 3380/QĐ-BNNMT,QĐ,1,2,kccn-sct-vn,,,,,,,
QĐ 3339/QĐ-BNNMT,QĐ,1,1,qlks-sct-vn,,,,,,,
QĐ 3278/QĐ-BNNMT,QĐ,1,2,qlks-sct-vn,,,,,,,
QĐ 3118/QĐ-UBND,QĐ,1,2,kccn-sct-vn,,,,,,,
QĐ 2978/QĐ-UBND,QĐ,1,4,kccn-sct-vn,kccn-sct-vn,,,,,,
QĐ 2872/QĐ-SCT,QĐ,2,4,xp-hc-vlncn-sct-vn;xp-sct-vn,,,,,,,
QĐ 2867/QĐ-UBND,QĐ,3,35,hl-vlncn-sct-vn;kho-vlncn-sct-vn;sd-vlncn-sct-vn,sd-vlncn-sct-vn,17/8/2026,20/8/2026 → 28/02/2027,,,,"Uỷ quyền Sở CT cấp GP sử dụng VLNCN (/GP-SCT, PGĐ Thuân ký); không gồm thu hồi GP, phê duyệt PANM"
QĐ 2848/QĐ-UBND,QĐ,3,38,hnh-sct-vn;sd-vlncn-sct-vn;xp-sct-vn,hnh-sct-vn,14/8/2026,,,,,"Sửa QĐ 1696 — mở rộng uỷ quyền cấp GP vận chuyển HHNH (7 loại, GĐ Sở ký)"
QĐ 2806/QĐ-UBND,QĐ,1,1,qlks-sct-vn,,,,,,,
QĐ 2797/QĐ-SCT,QĐ,1,11,hl-vlncn-sct-vn,,,,,,,
QĐ 2778/QĐ-HĐ,QĐ,1,3,kccn-sct-vn,,,,,,,
QĐ 2736/QĐ-UBND,QĐ,1,8,kccn-sct-vn,kccn-sct-vn,,,,,,
QĐ 2589/QĐ-UBND,QĐ,1,1,bvmt-sct-vn,,,,,,,
QĐ 2586/QĐ-UBND,QĐ,1,1,kccn-sct-vn,,,,,,,
QĐ 2581/QĐ-TTG,QĐ,1,7,quy-hoach-ct-vn,,,,,,,
QĐ 2573/QĐ-UBND,QĐ,1,1,kccn-sct-vn,,,,,,,
QĐ 2556/QĐ-XPHC,QĐ,1,2,sd-vlncn-sct-vn,,,,,,,
QĐ 2548/QĐ-UBND,QĐ,1,5,kccn-sct-vn,,,,,,,
QĐ 2501/QĐ-UBND,QĐ,1,1,kccn-sct-vn,,,,,,,
QĐ 2463/QĐ-UBND,QĐ,2,8,kccn-sct-vn;qlks-sct-vn,kccn-sct-vn,,,,,,
QĐ 2390/QĐ-UBND,QĐ,3,14,kccn-sct-vn;qlks-sct-vn;quy-hoach-ct-vn,kccn-sct-vn,,,,,,
QĐ 2339/QĐ-UBND,QĐ,1,1,kccn-sct-vn,,,,,,,
QĐ 2338/QĐ-UBND,QĐ,1,8,kccn-sct-vn,kccn-sct-vn,,,,,,
QĐ 2336/QĐ-UBND,QĐ,1,6,kccn-sct-vn,kccn-sct-vn,,,,,,
QĐ 2272/QĐ-UBND,QĐ,5,12,hl-vlncn-sct-vn;kho-vlncn-sct-vn;sd-vlncn-sct-vn;xp-hc-vlncn-sct-vn;xp-sct-vn,sd-vlncn-sct-vn,,,,,,
QĐ 2267/QĐ-BNNMT,QĐ,1,1,quy-hoach-ct-vn,,,,,,,
QĐ 2200/QĐ-BNNMT,QĐ,1,3,bvmt-sct-vn,bvmt-sct-vn,,,,,,
QĐ 2170/QĐ-UBND,QĐ,1,6,kccn-sct-vn,kccn-sct-vn,,,,,,
QĐ 2167/QĐ-UBND,QĐ,1,5,kccn-sct-vn,,,,,,,
QĐ 2107/QĐ-UBND,QĐ,1,1,kccn-sct-vn,,,,,,,
QĐ 2100/QĐ-UBND,QĐ,1,1,kccn-sct-vn,,,,,,,
QĐ 2084/QĐ-UBND,QĐ,1,1,qlks-sct-vn,,,,,,,
QĐ 2031/QĐ-UBND,QĐ,1,2,kccn-sct-vn,,,,,,,
QĐ 11/2026/QĐ-UBND,QĐ,6,22,kccn-sct-vn;kho-vlncn-sct-vn;pccc-sct-vn;tkm-sct-vn;xd-sct-vn;xp-sct-vn,bvmt-sct-vn;qlks-sct-vn;xd-sct-vn,,,,,,
QĐ 16/2026/QĐ-UBND,QĐ,4,23,bvmt-sct-vn;dacn-sct-vn;kccn-sct-vn;pccc-sct-vn,kccn-sct-vn,,,,,,Quy chế quản lý CCN Lào Cai
QĐ 20/2026/QĐ-UBND,QĐ,1,3,bvmt-sct-vn,,,,,,,
QĐ 42/2026/QĐ-TTG,QĐ,1,17,bvmt-sct-vn,bvmt-sct-vn,,25/9/2026,,,,Danh mục cơ sở kiểm kê KNK (18 cơ sở công thương Lào Cai)
QĐ 11/2025/QĐ-TTG,QĐ,1,7,bvmt-sct-vn,bvmt-sct-vn,,,,,,
QĐ 13/2025/QĐ-UBND,QĐ,1,1,sct-laocai-org-vn,,,,,,,
QĐ 16/2025/QĐ-UBND,QĐ,1,2,kccn-sct-vn,,,,,,,
QĐ 23/2025/QĐ-UBND,QĐ,1,1,sct-laocai-org-vn,,,,,,,
QĐ 26/2025/QĐ-UBND,QĐ,1,1,hnh-sct-vn,kccn-sct-vn,,,,,,
QĐ 28/2025/QĐ-UBND,QĐ,1,18,attp-sct-vn,attp-sct-vn;bvmt-sct-vn,,,,,,
QĐ 5/2025/QĐ-PD,QĐ,1,2,sd-vlncn-sct-vn,,,,,,,
QĐ 5/2025/QĐ-UBND,QĐ,14,60,attp-sct-vn;hc-sct-vn;hl-vlncn-sct-vn;hnh-sct-vn;kccn-sct-vn;kho-vlncn-sct-vn;pccc-sct-vn;qlks-sct-vn;sct-laocai-org-vn;sd-vlncn-sct-vn;tkm-sct-vn;xd-sct-vn;xp-hc-vlncn-sct-vn;xp-sct-vn,,01/7/2025,01/7/2025,,,,"Chức năng, nhiệm vụ, cơ cấu tổ chức Sở Công Thương"
QĐ 5/2025/QĐ-UNBD,QĐ,1,1,sd-vlncn-sct-vn,,,,,,,
QĐ 58/2025/QĐ-UBND,QĐ,1,2,xd-sct-vn,,,,,,,
QĐ 9/2025/QĐ-UBND,QĐ,1,4,tkm-sct-vn,qlks-sct-vn,,,,,,
QĐ 13/2024/QĐ-TTG,QĐ,1,9,bvmt-sct-vn,bvmt-sct-vn,,,,,,
QĐ 20/2024/QĐ-UBND,QĐ,1,1,kccn-sct-vn,,,,,,,
QĐ 38/2024/QĐ-DNTN,QĐ,1,1,sd-vlncn-sct-vn,,,,,,,
QĐ 42/2024/QĐ-UBND,QĐ,1,1,kccn-sct-vn,kho-vlncn-sct-vn;sd-vlncn-sct-vn,,,,,,
QĐ 45/2024/QĐ-UBND,QĐ,1,2,attp-sct-vn,,,,,,,
QĐ 68/2024/QĐ-UBND,QĐ,1,1,kccn-sct-vn,,,,,,,
QĐ 8/2021/QĐ-UBND,QĐ,1,2,attp-sct-vn,,,,,,,
QĐ 105/2009/QĐ-TTG,QĐ,1,8,kccn-sct-vn,,,,,,,
QĐ 51/2008/QĐ-BCT,QĐ,1,1,kho-vlncn-sct-vn,,,,,,,
QĐ 1958/QĐ-TTG,QĐ,1,1,bpb-sct-vn,,,,,,,
QĐ 1955/QĐ-UBND,QĐ,1,5,kccn-sct-vn,,,,,,,
QĐ 1902/QĐ-UBND,QĐ,1,1,kccn-sct-vn,,,,,,,
QĐ 1883/QĐ-UBND,QĐ,3,28,hl-vlncn-sct-vn;kho-vlncn-sct-vn;sd-vlncn-sct-vn,hl-vlncn-sct-vn,,,,,,Uỷ quyền GĐ Sở cấp GCN huấn luyện KTAT VLNCN — KHÔNG phải uỷ quyền cấp GP sử dụng
QĐ 1781/QĐ-BCT,QĐ,1,1,hnh-sct-vn,,,,,,,
QĐ 1775/QĐ-TTG,QĐ,1,2,bvmt-sct-vn,bvmt-sct-vn,,,,,,
QĐ 1758/QĐ-UBND,QĐ,1,1,kccn-sct-vn,,,,,,,
QĐ 1751/QĐ-UBND,QĐ,1,1,kccn-sct-vn,,,,,,,
QĐ 1696/QĐ-UBND,QĐ,1,20,hnh-sct-vn,hnh-sct-vn,,,,,,
QĐ 1693/QĐ-UBND,QĐ,1,1,kccn-sct-vn,,,,,,,
QĐ 1658/QĐ-UBND,QĐ,1,2,qlks-sct-vn,,,,,,,
QĐ 1637/QĐ-UBND,QĐ,1,1,kccn-sct-vn,,,,,,,
QĐ 1627/QĐ-TTG,QĐ,1,1,kccn-sct-vn,,,,,,,
QĐ 1626/QĐ-TTG,QĐ,2,13,qlks-sct-vn;quy-hoach-ct-vn,,,,,,,
QĐ 1613/QĐ-XPHC,QĐ,1,1,qlks-sct-vn,,,,,,,
QĐ 1609/QĐ-BCT,QĐ,1,6,pccc-sct-vn,,,,,,,
QĐ 1522/QĐ-UBND,QĐ,1,2,hnh-sct-vn,,,,,,,
QĐ 1437/QĐ-UBND,QĐ,1,1,qlks-sct-vn,,,,,,,
QĐ 1422/QĐ-TTG,QĐ,1,3,bvmt-sct-vn,bvmt-sct-vn,,,,,,
QĐ 1415/QĐ-UBND,QĐ,1,1,kccn-sct-vn,,,,,,,
QĐ 1407/QĐ-UBND,QĐ,2,3,kccn-sct-vn;qlks-sct-vn,,,,,,,
QĐ 1402/QĐ-SCT,QĐ,1,1,hc-sct-vn,,,,,,,
QĐ 1397/QĐ-UBND,QĐ,1,1,kccn-sct-vn,,,,,,,
QĐ 1390/QĐ-BCT,QĐ,1,4,attp-sct-vn,,,,,,,
QĐ 1382/QĐ-UBND,QĐ,3,10,dacn-sct-vn;kccn-sct-vn;quy-hoach-ct-vn,,,,,,,
QĐ 1369/2020/QĐ-TTG,QĐ,1,1,vbhc-vn,,,,,,,
QĐ 1311/QĐ-UBND,QĐ,1,1,qlks-sct-vn,,,,,,,
QĐ 1277/QĐ-TTG,QĐ,2,5,kccn-sct-vn;qlks-sct-vn,,,,,,,
QĐ 1268/QĐ-SCT,QĐ,2,5,hl-vlncn-sct-vn;sd-vlncn-sct-vn,,,,,,,
QĐ 1215/QĐ-BNN,QĐ,1,1,bvmt-sct-vn,bvmt-sct-vn,,,,,,
QĐ 1213/QĐ-BCT,QĐ,1,10,hnh-sct-vn,,,,,,,
QĐ 1186/QĐ-UBND,QĐ,1,1,kccn-sct-vn,,,,,,,
QĐ 1142/QĐ-SCT,QĐ,1,1,attp-sct-vn,,,,,,,
QĐ 1099/QĐ-UBND,QĐ,1,1,vbhc-vn,,,,,,,
QĐ 1094/QĐ-SCT,QĐ,2,8,xp-hc-vlncn-sct-vn;xp-sct-vn,,,,,,,
QĐ 1086/QĐ-TTG,QĐ,2,3,kccn-sct-vn;quy-hoach-ct-vn,,,,,,,
QĐ 1074/QĐ-BXD,QĐ,2,11,pccc-sct-vn;xp-sct-vn,pccc-sct-vn,,,,,,
QĐ 1050/QĐ-SCT,QĐ,4,7,hl-vlncn-sct-vn;sd-vlncn-sct-vn;xp-hc-vlncn-sct-vn;xp-sct-vn,,,,,,,
QĐ 1012/QĐ-UBND,QĐ,1,1,kccn-sct-vn,,,,,,,
QĐ 10/QĐ-BN,QĐ,1,1,sd-vlncn-sct-vn,bvmt-sct-vn,,,,,,
QĐ 128/QĐ-HC,QĐ,1,1,hc-sct-vn,,,,,,,
QĐ 129/QĐ-BQL,QĐ,1,1,kccn-sct-vn,kccn-sct-vn,,,,,,
QĐ 130/QĐ-BQL,QĐ,1,1,kccn-sct-vn,kccn-sct-vn,,,,,,
QĐ 148/QĐ-TTG,QĐ,1,2,bvmt-sct-vn,,,,,,,
QĐ 161/QĐ-BQLCKCN,QĐ,1,1,kccn-sct-vn,,,,,,,
QĐ 17/QĐ-HĐTV,QĐ,1,2,bvmt-sct-vn,bvmt-sct-vn,,,,,,
QĐ 217/QĐ-UBND,QĐ,1,2,attp-sct-vn,,,,,,,
QĐ 226/QĐ-BQLCKCN,QĐ,1,5,kccn-sct-vn,kccn-sct-vn,,,,,,
QĐ 232/QĐ-TTG,QĐ,1,4,bvmt-sct-vn,bvmt-sct-vn,,,,,,
QĐ 245/QĐ-UBND,QĐ,1,1,kccn-sct-vn,,,,,,,
QĐ 26/QĐ-XPVPHC,QĐ,1,6,hc-sct-vn,bvmt-sct-vn,,,,,,
QĐ 262/QĐ-TTG,QĐ,1,6,quy-hoach-ct-vn,,,,,,,
QĐ 263/QĐ-TTG,QĐ,1,3,bvmt-sct-vn,,,,,,,
QĐ 298/QĐ-UBND,QĐ,1,1,kccn-sct-vn,,,,,,,
QĐ 3/QĐ-UBND,QĐ,1,1,kccn-sct-vn,kccn-sct-vn,,,,,,
QĐ 316/QĐ-TTG,QĐ,2,3,kccn-sct-vn;quy-hoach-ct-vn,,,,,,,
QĐ 333/QĐ-TTG,QĐ,1,2,quy-hoach-ct-vn,,,,,,,
QĐ 334/QĐ-BCT,QĐ,1,7,bvmt-sct-vn,bvmt-sct-vn,,,,,,
QĐ 369/QĐ-TTG,QĐ,1,1,kccn-sct-vn,,,,,,,
QĐ 39/QĐ-HĐTV,QĐ,1,2,bvmt-sct-vn,bvmt-sct-vn,,,,,,
QĐ 4/QĐ-SCT,QĐ,2,3,sct-laocai-org-vn;sd-vlncn-sct-vn,bvmt-sct-vn,,,,,,
QĐ 40/QĐ-HĐTV,QĐ,1,2,bvmt-sct-vn,bvmt-sct-vn,,,,,,
QĐ 409/QĐ-BXD,QĐ,2,3,tkm-sct-vn;xd-sct-vn,,,,,,,
QĐ 419/QĐ-TTG,QĐ,1,2,bvmt-sct-vn,bvmt-sct-vn,,,,,,
QĐ 425/QĐ-BXD,QĐ,1,13,kccn-sct-vn,kccn-sct-vn,,,,,,
QĐ 435/QĐ-UBND,QĐ,1,1,sd-vlncn-sct-vn,,,,,,,
QĐ 464/QĐ-BCT,QĐ,1,2,hc-sct-vn,,,,,,,
QĐ 47/QĐ-HĐTV,QĐ,1,2,bvmt-sct-vn,bvmt-sct-vn,,,,,,
QĐ 476/QĐ-TTG,QĐ,1,1,vbhc-vn,,,,,,,
QĐ 482/QĐ-UBND,QĐ,1,1,sd-vlncn-sct-vn,,,,,,,
QĐ 488/QĐ-UBND,QĐ,1,1,sd-vlncn-sct-vn,,,,,,,
QĐ 500/QĐ-TTG,QĐ,1,2,quy-hoach-ct-vn,,,,,,,
QĐ 504/QĐ-BNNMT,QĐ,1,2,qlks-sct-vn,,,,,,,
QĐ 525/QĐ-UBND,QĐ,7,54,bvmt-sct-vn;dacn-sct-vn;kccn-sct-vn;qlks-sct-vn;quy-hoach-ct-vn;tkm-sct-vn;xd-sct-vn,,25/02/2026,,,,,Quy hoạch tỉnh Lào Cai (điều chỉnh)
QĐ 536/QĐ-UBND,QĐ,1,1,kccn-sct-vn,,,,,,,
QĐ 555/QĐ-BCT,QĐ,1,8,hnh-sct-vn,,,,,,,
QĐ 564/QĐ-SCT,QĐ,1,8,hl-vlncn-sct-vn,,,,,,,
QĐ 575/QĐ-TTG,QĐ,1,2,qlks-sct-vn,,,,,,,
QĐ 59/QĐ-SCT,QĐ,3,15,attp-sct-vn;sct-laocai-org-vn;sd-vlncn-sct-vn,,,,,,,
QĐ 599/QĐ-UBND,QĐ,1,1,sd-vlncn-sct-vn,,,,,,,
QĐ 628/QĐ-BCT,QĐ,1,3,qlks-sct-vn,,,,,,,
QĐ 630/QĐ-UBND,QĐ,1,1,kccn-sct-vn,,,,,,,
QĐ 678/QĐ-SNNMT,QĐ,2,5,bvmt-sct-vn;kccn-sct-vn,,,,,,,
QĐ 68/QĐ-UBND,QĐ,2,14,attp-sct-vn;xp-sct-vn,,09/01/2026,,,,,Uỷ quyền cấp GCN ATTP
QĐ 699/QĐ-BNNMT,QĐ,1,11,bvmt-sct-vn,bvmt-sct-vn,,,,,,
QĐ 7/QĐ-BQLCKCN,QĐ,1,6,kccn-sct-vn,bvmt-sct-vn;kccn-sct-vn;pccc-sct-vn,,,,,,
QĐ 72/QĐ-TT,QĐ,1,1,qlks-sct-vn,,,,,,,
QĐ 766/QĐ-SCT,QĐ,1,2,sd-vlncn-sct-vn,,,,,,,
QĐ 767/QĐ-UBND,QĐ,1,3,kccn-sct-vn,,,,,,,
QĐ 768/QĐ-TTG,QĐ,2,98,kccn-sct-vn;quy-hoach-ct-vn,,,,,,,
QĐ 777/QĐ-UBND,QĐ,1,7,qlks-sct-vn,,,,,,,
QĐ 864/QĐ-BXD,QĐ,1,3,pccc-sct-vn,,,,,,,
QĐ 866/QĐ-TTG,QĐ,4,20,kccn-sct-vn;qlks-sct-vn;quy-hoach-ct-vn;tkm-sct-vn,,,,,,,
QĐ 884/QĐ-UBND,QĐ,1,1,sd-vlncn-sct-vn,,,,,,,
QĐ 896/QĐ-TTG,QĐ,1,3,bvmt-sct-vn,bvmt-sct-vn,,,,,,
QĐ 898/QĐ-UBND,QĐ,1,1,kccn-sct-vn,,,,,,,
QĐ 904/QĐ-UBND,QĐ,1,7,attp-sct-vn,attp-sct-vn,,,,,,
QĐ 917/QĐ-UBND,QĐ,1,3,hc-sct-vn,,,,,,,
QĐ 94/QĐ-BQL,QĐ,1,3,kccn-sct-vn,,,,,,,
QĐ 942/QĐ-TTG,QĐ,1,3,bvmt-sct-vn,,,,,,,
QĐ 949/QĐ-UBND,QĐ,1,1,kccn-sct-vn,,,,,,,
QĐ 95/QĐ-BQL,QĐ,1,1,kccn-sct-vn,,,,,,,
QĐ 96/QĐ-BQL,QĐ,1,3,kccn-sct-vn,,,,,,,
QĐ 960/QĐ-UBND,QĐ,1,1,sd-vlncn-sct-vn,,,,,,,
NQ 12/2026/NQ-HĐND,NQ,1,8,bvmt-sct-vn,bvmt-sct-vn,,,,,,
NQ 15/2026/NQ-CP,NQ,1,4,attp-sct-vn,attp-sct-vn;bvmt-sct-vn;hnh-sct-vn;kccn-sct-vn,,,,,,Tạm ngưng NĐ 46/2026 (ATTP)
NQ 18/2026/NQ-CP,NQ,1,2,xd-sct-vn,hnh-sct-vn;xd-sct-vn,,,,,,
